,Turkish,English
311,etti,he
312,dışarı,outside
313,beri,since
314,gitti,gone
315,yalan,lie
316,edin,get
317,bakın,Look
318,yalnız,alone
319,insan,human
320,gördüm,I saw 
321,değildi,it wasn't
322,merak,curiosity
323,insanlar,people
324,polis,police
325,ihtiyacım,I need
326,erkek,male
327,görüşürüz,see you later
328,dün,yesterday
329,ah,Ah
330,haber,news
331,la,La
332,musunuz,Are you
333,babam,my father
334,gidiyor,going
335,pekâlâ,ok
336,yi,yi
337,olmuş,dead
338,akşam,evening
339,den,from
340,geçen,last
341,sakin,do not
342,ha,Ha
343,sanki,as if
344,beş,five
345,karar,decision
346,nefret,hate
347,sabah,morning
348,yaptım,I did
349,veya,or 
350,dikkat,Caution
351,umarım,I hope so
352,yerine,in its place
353,çabuk,quick
354,etme,relief
355,olması,to be
356,farklı,different
357,değilsin,You are not
358,ay,moon
359,sonunda,finally
360,gördün,you saw
361,ettim,I
362,sence,what do you think
363,fark,difference
364,üzerinde,on
365,aptal,silly
366,kendimi,myself
367,tamamen,completely
368,oldukça,increasingly
369,su,this
370,boyunca,along
371,kendine,yourself
372,tarafından,by
373,yeter,enough
374,dünya,world
375,u,U
376,yı,yi
377,olduğumu,that I am
378,bunları,these
379,vardır,has
380,öldü,died
381,olursa,if it
382,açık,open 
383,neyse,anyway
384,annem,My mother
385,kes,cut
386,İlk,First
387,istediğim,what I want
388,adı,First Name
389,dr.,dr.
390,yaptın,you did
391,yap,do it
392,hangi,which
393,olamaz,I can't be
394,ancak,however
395,söyledim,I told
396,görünüyor,it looks
397,dört,four
398,yüzünden,because
399,aldım,I bought
400,olsa,though
401,birşey,something
402,birisi,someone
403,be,ben
404,yoktu,did not have
405,kolay,easy
406,dolar,dollar
407,dedi,said
408,sahip,owner
409,ise,if
410,olmadığını,not
411,yanında,beside
412,gelecek,the future
413,adamı,man
414,bende,me too 
415,buldum,I found
416,yol,path
417,geldim,I came
418,bazen,sometimes
419,konuşmak,to talk
420,başına,per
421,gitmek,to go
422,anlıyorum,I understand 
423,beraber,together
424,henüz,yet
425,yapıyor,doing
426,yolu,way
427,bitti,finished
428,onların,they
429,cevap,reply
430,evde,at home
431,yardımcı,helper
432,zamanı,the time
433,almak,receive
434,konusunda,about
435,genç,youth
436,oldum,became
437,nun,nun
438,takip,follow-up
439,kal,remain
440,öyleyse,then
441,kahretsin,damn it
442,durum,situation
443,tabi,subject to
444,günü,day
445,ateş,fire
446,adamın,your man
447,muhtemelen,probably
448,adım,my name
449,istedim,I wanted
450,söylemek,to say
451,azından,at least
452,düşündüm,I thought
453,le,le
454,yaptı,made
455,neredeyse,almost
456,eder,eligible
457,olun,be
458,yeniden,again  
459,düşünüyorsun,you are thinking
460,ciddi,serious
461,vay,Wow
462,herhangi,any
463,ev,house
464,hızlı,fast
465,sanmıyorum,I do not think so
466,süre,duration
467,içeri,inside
468,altında,under
469,mükemmel,perfect
470,göz,eyelash
471,kan,blood
472,düşünüyorum,I'm thinking
473,ara,Search
474,boş,empty
475,miyiz,Are we
476,konuda,on the subject
477,halde,in case of
478,duydum,I heard
479,oğlum,my son
480,şeyin,your thing
481,uzak,far
482,gelen,incoming
483,aç,hungry
484,işin,ray
485,hayatta,in life
486,çıktı,output
487,sakın,do not
488,saniye,second
489,yakın,near
490,anladım,I understand
491,garip,strange
492,john,John
493,olduğuna,that
494,on,front
495,arada,in between
496,hayal,dream
497,gidiyorum,I'm going
498,araba,car 
499,çeviri,translation
500,çalışıyorum,I am working
501,jack,jack
502,söylüyor,says
503,sürü,herd
504,hepimiz,we all
505,kaldı,remained
506,galiba,I guess
507,canım,My dear
508,hayatım,my life
509,rahat,comfortable
510,kimin,who's?
511,alo,Hello
512,olacağım,I will be
513,güçlü,strong
514,savaş,war
515,verdi,given
516,ta,ta
517,ortaya,reveal
518,şeye,to what
519,bebeğim,my baby
520,başladı,started
521,dersin,you say
522,gelip,come and come
523,hayat,life
524,bilirsin,you know
525,çalışıyor,WORKING
526,durumda,in the case
527,hatta,even
528,geldin,You came
529,yaptığını,what you do
530,sende,You too
531,olay,event
532,şeyleri,things
533,adamım,my man
534,kesin,definite
535,arasında,between
536,arkadaşım,my friend
537,hareket,movement
538,altı,six
539,bebek,baby
540,kardeşim,my brother
541,çocuğu,child
542,böylece,thus
543,acaba,I wonder
544,sürekli,continually
545,bin,thousand
546,ihtiyacı,need
547,haklısın,you're right
548,soru,question
549,olmadan,without
550,hava,weather
551,terk,abandonment
552,silah,weapon
553,olacağını,that
554,yapacağım,I will do it
555,gelir,income
556,varsa,if any
557,komik,comic
558,kısa,short
559,aynen,exactly
560,etmeye,to do
561,üzerine,over
562,el,hand
563,zarar,damage
564,şaka,joke
565,birinin,someone
566,güle,bye
567,zamanda,at the time
568,siktir,Fuck
569,daki,in
570,acele,rush
571,telefon,telephone
572,ait,belonging
573,gizli,hidden
574,oyun,the game
575,kızı,daughter
576,şuna,to this
577,diyorsun,you say
578,yeterince,enough
579,verdim,I gave
580,evlat,son
581,geçti,passed
582,baban,your father
583,olmayacak,will not be
584,dışında,outside
585,yolunda,on the way
586,hepsini,all
587,uygun,appropriate
588,dans,dance
589,günaydın,Good Morning
590,kapıyı,the door
591,olurdu,would be
592,tuhaf,strange
593,memnun,pleased
594,hissediyorum,I am feeling
595,fikir,idea
596,yüksek,high
597,new,New
598,olmadı,It didn't happen
599,beyler,gentlemen
600,tür,type
601,verin,give
602,değildir,not
603,korkunç,terrible
604,rahatsız,uncomfortable
605,gidiyoruz,We are going
606,gerektiğini,what
607,geceler,nights
608,aldı,took
609,gidiyorsun,You are going
610,iyiyim,I'm fine
611,kere,times
612,sanıyordum,I thought
613,eden,driving
614,gelin,bride
615,veriyorum,I give
616,edecek,to be
617,beyaz,white
618,yaşlı,old
619,mümkün,possible
620,neyi,what
621,dolu,full
622,içine,into
623,çıkar,interest
624,ölüm,death
625,sensin,you are
626,nasılsın,how are you
627,bilmek,to know
628,belli,clear
629,sanıyorsun,you think
630,sevindim,I am pleased
631,yakında,soon
632,varmış,there
633,tahmin,prediction
634,sam,Sam
635,herif,guy
636,durun,stop
637,parayı,the money
638,şöyle,like this
639,yalnızca,Only
640,vermek,to give
641,biliyordum,I knew
642,ediyorsun,you are
643,acı,pain
644,yapamam,I can't do it
645,mısınız,Are you
646,yapmaya,to do
647,neydi,what was it
648,hasta,patient
649,üzere,as well as
650,yapacağız,we will do
651,istedi,wanted
652,çeneni,your jaw
653,güvenlik,security
654,berbat,wretched
655,annen,your mother
656,bizimle,with us
657,geliyorum,I'm coming
658,İçeri,Inside
659,yapacak,will make
660,dair,about
661,başkan,minister
662,dedin,you said
663,neyin,what
664,sizinle,With you
665,dikkatli,carefully
666,anladın,you understand
667,yapıyorum,i do
668,ihtiyacın,Your need
669,olmayan,non-
670,ihtiyacımız,we need
671,ölü,dead
672,aile,family
673,bırakın,quit
674,birine,to someone
675,istediğini,what you want
676,tatlı,sweet
677,deli,mad
678,milyon,million
679,normal,normal
680,söyledin,You said
681,dışarıda,outside
682,insanların,peoples
683,diyorum,I say
684,sefer,expedition
685,olup,in
686,pardon,pardon
687,otur,sit down
688,yemin,oath
689,ana,mother
690,te,tele
691,keşke,If only
692,ettin,you did
693,dünyanın,world
694,şans,chance
695,baş,top
696,affedersiniz,you forgive
697,evine,home to home
698,biliyoruz,we know
699,aşağı,down
700,yeri,place
701,İnsanlar,People
702,millet,people
703,aşk,love
704,bununla,With this
705,çık,exit
706,kapa,closure
707,miydi,was it
708,at,horse
709,durumu,status
710,bilmem,I don't know
711,arkadaş,friend
712,kendisi,itself
713,herkesin,everybody's
714,kusura,sorry
715,doğum,birth
716,yapar,does it
717,charlie,charlie
718,isterim,I would like
719,istersen,if you want
720,yaşında,old
721,michael,Michael
722,cidden,really
723,oradan,from there
724,the,The
725,kahve,coffee
726,hata,error
727,seks,sex
728,kızlar,girls
729,kaptan,captain
730,yavaş,slow
731,alıp,take a lot of
732,bakma,do not look
733,hayatını,life
734,dek,until
735,yeterli,sufficient
736,mıydı,was it
737,zamandır,for time
738,asıl,royal
739,bunların,these
740,hoşça,nicely
741,önünde,in front of
742,sessiz,quiet
743,kızım,my daughter
744,frank,franc
745,erken,early
746,aldın,you got it
747,york,york
748,sıcak,hot
749,tehlikeli,dangerous
750,amerika,America
751,düşünüyor,thinking
752,dön,frost
753,bilgi,information
754,getir,bring
755,güç,strength
756,hak,right
757,ufak,small
758,buradayım,I am her
759,bilmiyor,he does not know
760,cinayet,murder
761,diyor,says
762,gelmiş,arrived
763,üstüne,over
764,mesaj,message
765,nefes,breath
766,ele,hand
767,birçok,many
768,olmasını,to be
769,yüz,one hundred
770,basit,simple
771,yukarı,above
772,çek,Check
773,olduğum,I am
774,köpek,dog
775,duydun,you heard
776,edeceğim,I will make
777,evi,the House
778,gayet,very
779,şarkı,song
780,tıpkı,just as
781,benziyor,looks like
782,anlaşıldı,understood
783,inanamıyorum,I cant believe
784,olduğun,you
785,bulmak,to find
786,söylüyorum,I'm telling you
787,kızın,your daughter
788,vakit,time
789,n,N
790,yıldır,years
791,görüyorum,I see
792,haklı,right
793,ses,sound
794,olsaydı,if it was
795,sonraki,next
796,konu,subject
797,almaya,to buy
798,gitmem,I dont go
799,işler,works
800,muhteşem,wonderful
801,görünüyorsun,you look
802,gidin,go
803,olacaksın,you will be
804,neye,whereat
805,dalga,wave
806,film,film
807,adını,name
808,kimsenin,nobody
809,bi,one
810,yerinde,in place
811,bayım,sir
812,bilmiyordum,I did not know
813,yapmam,I don't do
814,yapacaksın,you will do
815,istediğin,you want
816,koca,husband
817,yu,yu
818,buldun,you found
819,olmalısın,you must be
820,ikinci,second
821,anlamıyorum,I don't understand you
822,hatırlıyor,Remember
823,insanları,people
824,noel,Christmas
825,acil,urgent
826,mike,mike
827,parti,party
828,george,George
829,lan,lan
830,sebebi,reason
831,fena,bad
832,söylemiştim,I said
833,yedi,seven
834,tom,tom
835,joe,joe
836,özellikle,especially
837,zamanlar,times
838,yaptığı,what he did
839,bilir,knows
840,yaparım,I do
841,alabilir,you can get
842,birden,suddenly
843,ajan,agent
844,yanına,next
845,sebep,reason
846,eğlenceli,enjoyable
847,dedektif,detective
848,adına,in the name of
849,düşün,think
850,rağmen,despite
851,olmaya,to be
852,tut,Keep
853,görünüşe,apparently
854,herhalde,I suppose
855,söylüyorsun,you say
856,yapalım,let's do
857,buradaki,here
858,yoktur,there is no
859,zavallı,poor
860,david,David
861,yemeği,food
862,baksana,look
863,temiz,clean
864,babası,his father
865,arkadaşın,your friend
866,içki,drink
867,söyleme,telling
868,burda,here
869,İşe,If
870,allah,God
871,parçası,Part of it
872,s,s
873,biriyle,with someone
874,üstünde,above
875,şeyden,out of what
876,istiyorsan,if you want
877,uyuşturucu,drugs
878,konuşma,speech
879,olduğundan,because
880,öldürmek,kill
881,sesini,your voice
882,bekliyor,waiting
883,suç,crime
884,görüyor,sees
885,gerçeği,reality
886,alın,forehead
887,katil,join
888,sevgili,dear
889,peter,Peter
890,yerini,location
891,defa,times
892,gerekir,must
893,müzik,music
894,kayıp,loss
895,güvenli,trustworthy
896,tercih,choice
897,patron,boss
898,sayın,Dear
899,gerekiyordu,needed
900,çoğu,most
901,değiliz,we are not
902,işim,name
903,geldik,we came
904,kimseye,to anyone
905,çoktan,already
906,dürüst,honest
907,alacağım,I will take
908,eskiden,before
909,teklif,offer
910,arkadaşı,his friend
911,dolayı,because
912,numara,number
913,sonsuza,to infinity
914,geldiniz,welcome
915,bilemiyorum,I do not know
916,sonu,end
917,olma,being
918,unutma,don't forget
919,kırmızı,red
920,teslim,delivery
921,canlı,live
922,oda,room
923,yapan,doing
924,saçma,absurd
925,işini,Your job
926,babamın,my fathers
927,yaptığın,you do
928,soğuk,cold
929,verir,giving
930,kimsin,who are you
931,bahsediyorsun,you are talking
932,bağlı,connected
933,yapabilirim,I can
934,onlardan,from them
935,bizden,U.S
936,süper,super
937,bulduk,we found
938,hanımefendi,lady
939,herşey,everything
940,seviyor,love
941,alan,area
942,yaşıyor,Living
943,olmasın,not
944,onlarla,with them
945,davet,Invitation
946,yapmış,made
947,ölmüş,dead
948,yürü,walk
949,sahibi,owner
950,kalk,get up
951,elinde,in your hand
952,umurumda,I care
953,sıra,desk
954,istemiyor,does not want
955,çalışıyorsun,you work
956,çocukları,children
957,tanıyor,knows
958,burayı,here
959,görmeye,to see
960,kalan,remainder
961,istiyoruz,we want
962,sert,hard
963,tamamdır,ok
964,olası,possible
965,fikrim,my idea
966,aşık,in love
967,günler,days
968,adamlar,men
969,dava,case
970,sene,year
971,çekil,get out
972,iyisi,the best
973,sağol,Thanks
974,bakayım,let me see
975,zorundayım,I have to
976,anlat,to explain
977,kavga,fight
978,anlamı,meaning
979,İyiyim,I am good
980,alır,gets
981,görmedim,I did not see
982,kendime,to myself
983,kral,king
984,kalmak,to stay
985,geldiğini,that
986,okul,school
987,şehir,city
988,gitsin,let go
989,park,Park
990,bekleyin,wait
991,gelmek,to come
992,İş,Business
993,kapı,gate
994,yaptığım,what I do
995,anlamına,meaning
996,takım,set
997,yola,on the road
998,altına,under
999,kendim,myself
1000,çocuğun,your child
1001,kara,black
1002,istemedim,I didn't want
1003,hatırlıyorum,I remember
1004,söyleyeyim,let me tell you
1005,edebilir,can
1006,canına,to your life
1007,mesela,for example
1008,iç,inner
1009,güneş,sun 
1010,orası,there
1011,herkese,to everyone
1012,sesi,sound
1013,olayı,incident
1014,şimdiye,so far
1015,pislik,dirt
1016,önceki,before
1017,ağır,heavy
1018,yarım,my love
1019,sık,stylish
1020,adama,to man
1021,düşünüyordum,I was thinking
1022,vereceğim,I will give
1023,paul,Paul
1024,henry,Henry
1025,hale,state
1026,anlaşma,agreement
1027,öğrenmek,learn
1028,etmiş,he
1029,ikna,persuasion
1030,aşkına,for your love
1031,anlıyor,understands
1032,duruyor,stops
1033,olabilirim,I could be
1034,getirdim,I brought
1035,affedersin,you forgive
1036,gurur,pride
1037,deki,in
1038,demektir,means
1039,sırada,in line
1040,ifade,expression
1041,aferin,well done
1042,l,L
1043,sıkı,tight
1044,max,max
1045,bölüm,episode
1046,siyah,black
1047,yazık,what a pity
1048,kalp,heart
1049,arka,back
1050,verici,transmitter
1051,m,m
1052,suçlu,guilty
1053,kadının,woman
1054,oldun,you became
1055,düşünmüştüm,I thought
1056,yapmayı,to do
1057,kalın,thick
1058,herşeyi,everything
1059,başıma,to me
1060,şef,chef
1061,telefonu,phone
1062,silahı,weapon
1063,annesi,his mother
1064,edeyim,let me
1065,resmi,formal
1066,gittim,i went
1067,hoşuma,I like it
1068,vakti,time
1069,veriyor,giving
1070,hepiniz,all of you
1071,gider,expense
1072,serbest,independent
1073,üst,top
1074,göster,show
1075,kaldım,I stayed
1076,kadınlar,women
1077,yla,with
1078,kitap,book
1079,kelime,word
1080,dünyada,in the world
1081,orospu,bitch
1082,olman,your being
1083,birileri,someone
1084,günün,your day
1085,gidecek,will go
1086,istiyorsunuz,you want
1087,arabayı,the car
1088,sürece,as long as
1089,satın,purchase
1090,zengin,rich
1091,sona,end
1092,tehdit,threatening
1093,bira,beer
1094,ilginç,interesting
1095,sekiz,eight
1096,söyleyeceğim,I will say
1097,ettiğini,that you
1098,üçüncü,third
1099,james,james
1100,söylemiştin,you said
1101,b,B
1102,almış,bought
1103,hayatı,vital
1104,alex,Alex
1105,olmayı,to be
1106,na,na
1107,tarafa,to side
1108,bayanlar,ladies
1109,yıllar,years
1110,olanlar,what happened
1111,verdin,you gave
1112,aptalca,stupid
1113,mıyım,am I
1114,nedeni,Reason
1115,danny,Danny
1116,zamanlarda,in times
1117,iyilik,goodness
1118,altın,gold
1119,istemem,I do not want
1120,çalışan,worker
1121,öldürdü,killed
1122,yaklaşık,approximately
1123,yapıyoruz,we do
1124,kendin,yourself
1125,mantıklı,logical
1126,konuş,Talk
1127,değer,value
1128,taraftan,on the side
1129,isim,name
1130,işleri,work
1131,niçin,why
1132,gideceğim,I will go
1133,dua,prayer
1134,dinleyin,listen
1135,deniz,sea
1136,duymak,to listen
1137,okula,to school
1138,yolunu,way
1139,yaşam,life
1140,general,general
1141,olacağız,we will be
1142,herkesi,everyone
1143,mary,Mary
1144,güvende,safe
1145,yapabilir,can do
1146,yapıyorsunuz,you do
1147,edelim,let's
1148,karanlık,dark
1149,ayak,foot
1150,yapmadım,I did not do
1151,alıyor,taking
1152,görev,task
1153,kimseyi,nobody
1154,sigara,cigaret
1155,yaşamak,to live
1156,çıkıp,out of
1157,hediye,present
1158,çeşit,sort
1159,ortak,partner
1160,edip,educated
1161,aşırı,extreme
1162,önceden,previously
1163,bok,shit
1164,güven,confidence
1165,polisi,policeman
1166,duyuyor,hears
1167,elde,in hand
1168,gitmiş,gone
1169,sarah,Sarah
1170,bey,gentleman
1171,teki,in
1172,gerekecek,will be required
1173,severim,I like it
1174,alıyorum,I'm buying
1175,geldiğinde,when you arrive
1176,sahte,fake
1177,ee,ee
1178,isteyen,wanting
1179,duyuyorum,I hear
1180,sizden,from you
1181,muydu,was it
1182,jimmy,Jimmy
1183,kalacak,will stay
1184,ahbap,buddy
1185,parça,piece
1186,ortadan,in the middle
1187,mavi,blue
1188,amerikan,American
1189,saçmalık,nonsense
1190,kalmadı,no more
1191,çift,couple
1192,d,D
1193,endişelenme,don't worry
1194,hayatımı,my life
1195,dışı,female
1196,rica,request
1197,kişisel,personal
1198,kadını,woman
1199,yo,yo
1200,elini,your hand
1201,derece,degree
1202,salak,idiot
1203,fbi,FBI
1204,kimi,who
1205,biliyorsunuz,you know
1206,bul,find
1207,tan,tan
1208,hani,you know
1209,erkekler,men
1210,saygı,respect
1211,birazdan,Soon
1212,kulak,ear
1213,elimden,from my hand
1214,evin,your house
1215,ön,front
1216,tanıyorum,I know
1217,döndü,turned
1218,zorundasın,you have to
1219,gücü,power
1220,zeki,clever
1221,çalıştım,I worked
1222,gitme,do not go
1223,seksi,sexy
1224,gördüğüm,what I see
1225,nick,Nick
1226,verme,giving
1227,tebrikler,congratulations
1228,farkında,aware
1229,arıyor,calling
1230,etmez,not
1231,söyleyin,Say
1232,İkinci,Second
1233,söyler,Saying
1234,balık,the fish
1235,ten,skin
1236,harry,Harry
1237,ellerini,your hands
1238,İsa,Jesus
1239,destek,support
1240,yüzbaşı,captain
1241,olurum,I will be
1242,yanımda,by my side
1243,kutsal,sacred
1244,insanlara,to people
1245,ray,rail
1246,alt,lower
1247,yaz,summer
1248,gibiydi,it was like
1249,kapat,close
1250,karım,my wife
1251,jim,Jim
1252,alacak,receivable
1253,isterdim,I would like to
1254,bayağı,pretty
1255,grup,group
1256,istediği,wanted
1257,annemin,my mom's
1258,öylece,so
1259,türlü,various kinds of
1260,gerekli,necessary
1261,ikiniz,two of you
1262,korumak,to protect
1263,yolda,on the road
1264,olmadığı,not
1265,geriye,back
1266,hayatın,Your life
1267,yaptık,we did
1268,verecek,will give
1269,ilgisi,interest
1270,çıkmak,exit
1271,epey,quite
1272,iyidir,is good
1273,hoşuna,you like it
1274,adın,your name
1275,gerekirse,if necessary
1276,gelmedi,did not come
1277,ediyoruz,we do
1278,peder,father
1279,bildiğim,I know
1280,tony,tony
1281,inanılmaz,incredible
1282,olduğumuzu,that we are
1283,anlamadım,I did not understand
1284,ders,lesson
1285,gelmiyor,does not come
1286,şanslı,lucky
1287,adamla,with the man
1288,sarhoş,drunk
1289,defol,get out
1290,kalmış,remained
1291,jane,jane
1292,haline,into
1293,mesele,issue
1294,gir,enter
1295,dahil,including
1296,koy,bay
1297,arama,call
1298,baştan,from the beginning
1299,hikaye,story
1300,olduğunda,when
1301,buydu,that was
1302,sıradan,ordinary
1303,geleni,what's the next
1304,derin,deep
1305,kalsın,stay
1306,yiyecek,food
1307,paris,Paris
1308,bob,bob
1309,bill,Bill
1310,buralarda,here
1311,birinci,first
1312,söylemişti,he said
1313,lee,Lee
1314,götür,take
1315,önemi,the importance of
1316,babanın,Your father
1317,yıldız,star
1318,etmeyi,to do
1319,olmam,not to be
1320,muydun,Have you
1321,arıyorum,I am searching
1322,İnsan,Human
1323,oyunu,game
1324,kaza,accident
1325,ailesi,family
1326,şimdilik,for now
1327,başladım,I started
1328,giden,outgoing
1329,sorunu,problem
1330,plan,plan
1331,araya,in
1332,bilmiyorsun,You do not know
1333,kafa,head
1334,gördünüz,you saw
1335,yapman,you do
1336,buradasın,you are here
1337,aradı,called
1338,yerden,out of the ground
1339,ikimiz,the two of us
1340,test,test
1341,yaramaz,naughty
1342,evinde,at home
1343,yoluna,on the way
1344,edersin,you
1345,unut,forget
1346,korkarım,I'm afraid
1347,hayvan,animal
1348,geçmiş,past
1349,olanları,what happened
1350,gösteriyor,is showing
1351,çay,tea
1352,olabilirsin,you can be
1353,buyurun,here
1354,kapalı,closed
1355,neredesin,where are you
1356,şuraya,there
1357,zorundayız,we have to
1358,yardıma,to help
1359,kahrolası,goddamn
1360,sanmıştım,I thought
1361,yoldan,on the way
1362,aklıma,to my mind
1363,istediğimi,what I want
1364,zamana,to time
1365,doğal,natural
1366,tarafta,on the side
1367,nesi,what's up
1368,miydin,Are you
1369,birşeyler,something
1370,çıkıyor,turns out
1371,sevdim,I loved
1372,değerli,valuable
1373,sürpriz,surprise
1374,gitmeliyim,I have to go
1375,konuyu,subject
1376,parmak,finger
1377,amca,uncle
1378,hamile,pregnant
1379,genelde,in general
1380,ziyaret,visit
1381,başarılı,successful
1382,dünyayı,the world
1383,sevgilim,my darling
1384,üzgün,sad
1385,richard,richard
1386,akşamlar,evenings
1387,tedavi,treatment
1388,oğlu,son-
1389,korkuyorum,I am scared
1390,arkasında,behind
1391,albay,colonel
1392,düzgün,smooth
1393,edildi,was
1394,mark,Mark
1395,inanıyorum,I believe
1396,istersin,you want
1397,ayağa,to the feet
1398,ciddiyim,I am serious
1399,çalışmak,to work
1400,yargıç,judge
1401,avukat,lawyer
1402,edebilirim,I can
1403,cehenneme,to hell
1404,alayım,let me take
1405,majesteleri,Your Majesty
1406,sevdiğim,Favorite
1407,arabaya,in the car
1408,bekliyorum,I am waiting
1409,başlıyor,starting
1410,konuşmaya,to talk
1411,gittiğini,that you go
1412,sol,left
1413,kat,floor
1414,söylemem,I don't say
1415,sahi,actually
1416,çekilin,withdraw
1417,seyirler,cruise
1418,baylar,gentlemen
1419,diyeceğim,I will say
1420,kafayı,head
1421,yapabilirsin,you can do
1422,veririm,I give
1423,çalışma,study
1424,can,Bell
